Country Name,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Burkina Faso,301.9534889,294.0437239,339.6318226,334.7596542,349.708108,325.153666,187.815138,229.8326601,243.5269234,224.6113437,250.4139446,293.8874445,249.8020757,260.443473,286.7537151,363.8183519,405.4512762,442.9444309,457.3420749,516.750328,621.8902712,603.8775451,627.2703954,727.6124749,733.9728789,762.3037803,767.3713442,632.1266858,665.7863285,711.1845439,779.2027681,772.1668775,833.2443361,893.077196,832.8842657
Burundi,205.3179193,207.2919501,206.4449283,208.6567234,188.5811668,168.9640756,165.5859347,168.6271677,146.5361825,164.2334457,148.0895425,130.7530239,138.0046172,135.6064758,124.1393016,114.3670072,128.5384225,151.1885411,166.2762452,170.7068764,194.7106346,204.5447557,222.6605831,236.4513474,238.2059453,241.5476657,257.8185575,289.3596271,242.5395274,244.1454221,232.0606166,216.9729709,216.8274174,221.1578034,238.4418757
Cambodia,,,,,,247.3485844,262.4428949,315.142348,313.5846723,301.2196654,267.4097962,295.5912853,301.5165985,322.8998639,341.0367658,364.2753017,410.0861329,475.0693943,539.7473654,629.9210767,742.3979724,734.8151186,782.6957387,880.3103044,950.4825446,1015.220881,1098.074538,1170.742816,1281.105971,1400.899265,1533.315985,1671.3854,1577.91174,1625.235022,1786.560819
Cameroon,1137.225183,993.087358,1077.333545,1005.304364,995.3144934,1295.916462,692.8587339,822.3632128,817.1840938,773.9271462,789.2742925,786.8458877,700.1632362,706.9842173,780.2705538,976.5193032,1119.980861,1129.35798,1177.968605,1311.002963,1476.009078,1445.860248,1383.813864,1497.926586,1433.723927,1559.13905,1631.713986,1399.675336,1426.065481,1479.862223,1594.060109,1538.687912,1539.130547,1666.932809,1588.478723
Canada,19012.55925,20795.17253,21526.3477,21846.30025,20949.93327,20186.9885,19997.62374,20678.95044,21296.63442,21901.59404,21024.50993,22315.17429,24271.00206,23821.44559,24255.33858,28300.4631,32143.68141,36382.50792,40504.06073,44659.89514,46710.50558,40876.31015,47562.08343,52223.69611,52669.08996,52635.17496,50955.99832,43596.13554,42315.60371,45129.4293,46547.79518,46374.15275,43349.67786,52358.62164,54966.48884
Cape Verde,748.2543825,746.7501613,841.8050136,858.0870372,935.1061412,1251.866347,1012.263391,1184.176735,1192.329989,1139.217697,1185.58374,1317.573685,1176.707258,1208.457605,1311.214577,1693.978552,1900.888467,1972.784937,2220.098177,3268.305689,3839.863644,3592.315891,3500.977452,3880.069182,3583.461717,3757.659953,3739.278279,3169.078915,3312.696757,3534.343583,3860.454811,3928.309096,3223.735602,3557.837775,3902.589049
Cayman Islands,,,,,,,,,,,,,,,,,,,87184.51299,89960.68303,89704.22255,81398.3236,76873.19532,75435.61523,75466.13587,75685.35837,76610.64797,77295.84566,78858.27966,81255.11227,85231.77515,89846.3211,83897.50521,88475.60088,
Central African Republic,476.0208594,452.9665586,512.8508791,475.2761467,471.9406398,413.959476,267.0062768,340.39968,299.6194896,271.1433004,272.1015403,273.4279279,243.8775801,242.5757267,253.4106706,283.675348,309.1902426,317.8776781,340.4145172,388.4777713,446.2287699,452.9222361,459.7769816,515.2095038,525.8675036,352.226855,394.8569331,351.8797548,372.1354561,414.7403226,435.9322963,426.408753,435.4692482,461.1375109,427.0580963
Chad,270.3970498,252.827127,298.3670792,310.6595533,298.5673117,226.9211575,178.9531809,209.8925997,223.2333881,207.3165613,226.3287722,192.269472,168.1176582,200.361008,225.9473111,298.2498816,460.0670181,664.5976565,716.6677686,806.710318,936.4941362,808.1615229,896.8767042,988.1941606,969.6161419,980.0835447,1017.787762,774.4116031,691.9800774,662.8974734,720.2651009,701.6212008,643.7722162,685.690315,716.8043812
Chile,2015.735295,2276.341379,2481.739743,2789.809659,3335.064959,3521.711814,4011.694136,5094.505484,5376.149433,5788.859948,5467.570877,4981.191106,5097.114937,4606.890564,4479.175044,4824.220541,6185.514792,7561.830548,9418.062718,10461.36609,10783.17082,10182.86056,12767.78204,14628.57246,15406.49284,15833.27592,14666.34312,13569.94813,13785.6876,15045.52785,15795.70814,14627.14502,13165.38634,16247.40102,15355.5065
China,283.5376952,310.8819124,317.884673,333.1421454,366.4606923,377.3898395,473.4899347,609.6043623,709.4158882,781.7425926,828.5946577,873.297611,959.3604121,1053.112272,1148.514188,1288.637543,1508.667946,1753.414263,2099.219342,2693.958555,3468.327063,3832.227428,4550.473924,5614.385739,6300.582352,7020.385682,7636.074223,8016.446016,8094.390375,8817.045496,9905.406118,10143.86021,10408.71912,12617.50499,12720.21564
Colombia,1254.531546,1238.603367,1467.547436,1491.856728,1720.568557,1920.398967,2314.90099,2571.46819,2652.103881,2860.040941,2595.543012,2236.072925,2546.850213,2465.007011,2421.162103,2305.170507,2811.45945,3448.538274,3782.603504,4762.082973,5534.689447,5245.951665,6392.758026,7392.9436,8096.80151,8263.641929,8167.472842,6228.651622,5936.261022,6449.970987,6782.03792,6436.509215,5304.289129,6182.707099,6630.282726
Comoros,873.6247037,813.8460191,996.5280538,958.9211492,1009.710263,977.4743806,674.1373079,823.6766098,801.261221,721.6272999,717.3181318,726.4888885,654.180431,691.0419781,761.9478884,959.2289884,1090.427168,1103.195417,1155.085676,1289.79485,1454.650909,1409.106673,1384.063284,1526.832638,1483.951559,1595.989819,1608.687875,1322.936775,1357.266229,1414.586689,1531.337811,1510.797323,1519.58678,1577.470841,1484.892465
"Congo, Dem. Rep.",262.5566318,259.056194,259.8055972,258.7843937,214.6321373,270.490946,140.2096828,130.3762562,130.8164965,135.8889305,135.4774002,99.75725083,392.6263338,148.4471235,168.9448053,167.9815754,187.856781,211.5726295,247.5419356,277.6120796,317.8892099,290.1556749,324.827726,376.3749811,412.7762607,444.8643574,472.266236,482.0645685,456.0279505,451.0890886,546.2125933,575.8827813,524.6666863,577.2092152,586.4642889
"Congo, Rep.",981.8936516,1030.362504,1173.264436,1110.972105,1163.534936,1034.753192,662.8773345,771.6139458,902.0457459,807.8918989,663.7287033,780.5897051,1029.960689,859.4400122,910.8697114,1023.088496,1314.41128,1810.588944,2116.868944,2219.912305,2848.65316,2283.949871,2962.76248,3415.062376,3753.860925,3719.651037,3622.530074,2347.818507,1970.250199,2088.500299,2512.384167,2288.808086,1838.448124,2290.382994,2447.988989
Costa Rica,1537.461223,1705.431654,1808.495959,2221.474653,2578.025031,2814.044548,3005.540323,3240.711145,3194.112988,3373.410585,3580.933885,3653.754208,3773.033793,3941.598643,4021.425361,4123.506487,4376.080428,4643.45857,5188.361792,6055.086779,6841.91146,6737.860754,8147.243985,9137.455102,9971.651656,10633.26656,10737.67888,11529.95517,11899.81398,12118.13362,12383.14995,12669.34116,12179.25667,12537.25675,13198.82172
Cote d'Ivoire,928.6417264,851.2133952,906.4115132,848.2820276,868.7255417,829.4824768,602.3319701,769.2556836,1220.121444,1176.851967,1237.131417,1154.479067,986.7773529,974.779985,1020.950491,1173.063882,1267.764823,1267.087311,1303.564967,1451.232531,1683.337505,1638.804684,1654.177959,1701.704641,1649.301615,1903.054229,2124.01943,1941.581898,1999.195372,2113.341525,2295.540335,2290.787379,2349.069882,2613.378893,2486.412194
Croatia,,,,,,,,4930.337203,5298.886377,5330.327366,5711.485932,5267.512207,4952.377753,5364.010241,6219.473213,8192.322633,9723.381024,10446.36044,11489.39127,13728.52101,15857.71225,14387.65664,13664.20884,14623.99053,13410.82081,13949.12177,13970.98323,12071.09096,12550.70886,13562.14405,15003.14068,15086.21174,14236.53525,17747.78929,18413.23468
Cuba,2633.847388,2567.017064,2695.614865,2269.645578,2048.068839,2063.222123,2613.005039,2784.902605,2281.97555,2306.38394,2332.508217,2562.274105,2752.203783,2844.244437,3007.193074,3205.688398,3403.296163,3791.873006,4336.87333,4814.854876,4992.824494,5094.437562,5275.532601,6106.006792,6467.337914,6814.243844,7117.52691,7683.757891,8055.889907,8543.360968,8831.907222,9139.415856,9499.590202,,
Cyprus,7645.629883,8038.914063,9641.575195,9696.099609,11310.07227,10526.1416,11617.69238,15261.41016,15139.22656,14234.24414,15092.82617,15287.91895,14388.34766,14821.44727,16093.21484,20252.23828,23792.62109,24959.25977,26729.32422,31244.92578,35397.36328,32109.24219,31105.02734,32485.80273,28991.92969,27797.45313,27244.34375,23487.21875,24715.14258,26697.00586,29419.88672,29417.92188,28035.98438,31552.03516,31283.50586
Czech Republic,,,3941.503094,2896.609131,3372.86543,3956.200967,4630.537811,5823.974997,6532.905243,6034.523339,6489.71032,6337.409954,6028.582612,6637.106512,8060.888811,9818.568493,11749.87552,13430.66055,15261.80885,18466.57826,22804.6222,19861.69743,19960.06849,21871.26608,19870.80121,20133.16914,19890.91991,17829.69832,18575.23203,20636.19995,23424.48046,23664.84786,22992.87938,26822.51419,27638.37328
Denmark,22526.96306,21901.12965,26891.62751,27011.55341,29569.49706,27597.80852,29995.80756,35351.5758,35650.88828,32836.14295,33368.00962,33440.60306,30743.3797,30751.58969,33228.63392,40458.94117,46511.93475,48799.74423,52027.18907,58487.04601,64321.67448,58163.63853,58041.39844,61753.64713,58507.50805,61191.1937,62548.98473,53254.85637,54663.99837,57610.09818,61591.92887,59592.98069,60915.4244,68007.75667,66983.132
Djibouti,820.5767723,785.2944654,783.6958542,735.7303869,767.1062359,762.4751841,788.6244733,790.5161067,766.315697,752.7494467,740.0389531,745.2067822,742.8656972,747.7791229,749.0816325,771.3742316,813.8979436,852.8901883,907.8179438,980.0310324,1131.635726,1164.251683,1227.820853,1322.726251,1418.460858,2102.197948,2239.114538,2409.311902,2545.738799,2655.73322,2755.838293,2876.043664,2917.996281,3050.306282,3136.11296
Dominica,2430.589145,2645.762672,2899.060601,3178.475332,3386.665981,3549.652676,3820.545017,3967.026809,4225.850637,4385.994541,4676.827165,4829.241889,4879.149773,4991.764173,4881.138793,5016.088237,5354.799195,5304.126097,5677.051175,6126.849496,6661.465047,7109.978253,7182.400203,7288.497948,7054.875977,7240.679119,7498.917522,7724.042411,8223.04145,7408.091301,7833.195013,8561.587011,7003.469891,7668.158132,8414.536593
Dominican Republic,786.3824251,957.9600927,992.2389642,1349.813238,1562.522047,1726.625479,1896.020117,2114.0906,2276.698374,2456.105927,2616.74548,2631.74358,2845.84661,2953.247928,3085.517866,2399.498123,2468.436815,3903.815184,4080.045714,4676.079111,5053.330291,5002.153233,5509.568054,5859.381545,6049.471611,6171.295064,6533.670968,6838.936735,7191.069713,7513.497951,7947.159354,8173.344646,7167.914932,8476.749688,10120.55116
East Timor,,,,,,,,,,,,,417.9241996,534.6505771,516.1461855,529.2197975,465.9299421,476.9188074,456.2854678,532.4854173,621.7118407,682.172795,810.1416095,936.5983633,1019.964911,1201.423609,1221.534229,1322.300887,1347.926361,1283.525882,1239.366087,1584.263822,1660.308309,2741.393945,2358.409054
Ecuador,1309.143841,1360.487465,1458.326872,1589.752174,1657.85872,1701.159459,2001.178159,2113.263652,2142.328641,2349.218685,2293.655828,1582.758607,1451.530885,1904.81367,2184.209244,2438.343684,2703.565671,3014.310009,3340.840903,3579.032244,4260.433184,4240.702593,4640.246344,5202.656459,5678.455721,6050.354611,6374.631486,6130.586676,6079.088736,6246.404252,6321.349401,6233.258167,5645.19929,5965.132871,6391.282484
"Egypt, Arab Rep.",644.2196325,712.914876,751.1874902,637.8975973,697.7260405,758.8296192,826.7189671,937.5431501,1031.488078,1170.804798,1239.353562,1297.57469,1398.859831,1327.096518,1144.532398,1056.937209,1016.253884,1133.105461,1332.33941,1586.472921,1941.899973,2212.218148,2509.772034,2645.622535,3059.135428,3088.890834,3196.861381,3370.382447,3331.612461,2439.967284,2531.200079,3017.258336,3571.556907,3886.722498,4295.407496
El Salvador,810.3526973,829.5125146,897.5929821,961.778992,1047.043157,1186.340725,1348.907912,1552.130208,1653.630549,1749.501835,1858.371394,1904.874902,1977.840614,2051.158774,2106.739469,2197.482001,2273.955503,2434.323531,2651.430888,2814.589889,2964.17214,2889.685887,3017.307395,3304.974183,3471.051269,3555.1621,3638.517658,3761.51368,3870.312982,3986.049014,4145.862351,4280.288404,3961.726633,4664.311223,5127.321668
Eritrea,,,,,248.3413094,236.1301243,260.3125149,267.9446811,306.3222582,299.5731251,320.9652833,292.3510431,295.196924,305.6027588,286.2977154,327.9760207,401.3745252,387.8985404,420.5287398,450.4097137,459.1784027,602.0632238,504.9724602,643.7900423,,,,,,,,,,,
Estonia,,,,,,,,3134.389753,3380.926302,3682.952301,4093.392477,4140.936602,4070.609024,4505.858332,5341.628947,7203.523038,8914.103557,10412.64431,12639.40007,16744.58445,18204.96648,14711.73527,14663.04461,17487.80478,17403.20533,19056.00192,20261.06673,17402.03761,18295.34293,20437.76538,23165.84948,23424.48471,23595.24368,27943.70122,28332.62909
Eswatini,871.0938944,843.7795532,1305.245614,1299.449393,1388.681859,1423.449894,1488.139939,1781.708861,1646.223472,1732.770042,1568.816851,1519.966666,1686.657451,1481.163082,1362.970611,2075.561621,2599.15215,2964.972331,3053.932496,3200.512571,3022.456056,3270.1377,4035.534502,4360.959888,4396.57932,4111.128353,3928.522911,3583.31129,3339.990427,3824.046783,4021.445556,3818.540425,3372.904639,3982.905229,4039.518036
Ethiopia(excludes Eritrea),245.0810842,248.4326848,254.2952546,269.6147631,201.7435026,164.1650535,124.5581496,133.3411006,144.0316487,140.2702152,123.8302224,118.3331279,122.9616647,119.2618573,110.4608747,117.8601647,134.5424863,160.0767918,191.7512925,240.347972,320.8610897,373.8939587,335.4384953,348.0013483,458.5509208,490.7924741,557.5341484,630.3126271,705.6175123,755.7526451,758.2976902,840.4496034,918.6525941,925.0006972,1027.585918
Faeroe Islands,,,,,,,,,,,24623.74435,24947.12358,23370.77329,25089.59114,27238.02496,31691.87848,35940.96286,36440.3222,41762.68751,48365.73654,51431.97478,47410.95857,48167.66751,51786.48548,50157.0628,55560.13613,60126.12921,52726.6887,56833.91437,59328.23348,62576.80375,63382.75314,61979.79544,69010.1662,
Fiji,1452.188422,1530.547273,1713.180245,1763.286561,1947.504202,2073.118846,2308.706584,2486.981341,2672.43577,2597.929256,2031.025354,2351.722429,2015.857496,1964.130251,2157.076596,2680.270209,3124.607389,3406.475158,3483.597185,3793.097385,3928.921739,3184.689123,3469.150224,4160.721585,4359.792845,4586.956165,5305.0634,5105.190039,5368.433659,5825.198813,6073.395195,5968.319557,4864.106008,4646.537921,5316.658385
Finland,22047.79332,23973.23948,28364.64508,25484.73929,22319.05946,17608.81239,20301.33309,26271.59981,25783.45049,24691.87281,26009.26949,26186.19001,24345.91482,24967.79252,26997.75299,32927.68029,37772.17811,39054.85044,41222.602,48476.39273,53772.79424,47481.48454,46505.30318,51148.93164,47708.06128,49892.22336,50327.24029,42801.90812,43814.02651,46412.13648,49987.62616,48629.85823,49169.71934,53489.75202,50536.62447
Fm Sudan,568.7889404,841.9991455,1301.819092,1678.179688,263.0035706,326.7308655,459.4401855,483.7037659,307.8218384,388.8052368,366.1158752,339.2810059,378.1575012,471.3727722,529.4519043,607.0062256,737.1228027,945.6895752,1179.898193,1500.673096,1585.58252,1382.621338,1706.414917,1982.816528,1797.400757,1834.561157,2076.000977,2226.409424,2614.294434,3188.769287,769.8691406,748.0109253,608.3325195,749.7067871,1102.146484
