,Year - Month,Event, DataCards, Deaths, Injured, Missing, Houses Destroyed, Houses Damaged, Directly affected, Indirectly Affected, Relocated, Evacuated, Losses $USD, Losses $Local, Damages in crops Ha., Duration (d), Education, Agriculture, Health sector, Water supply, Communications, Transportation, Power and Energy, Relief,Country, Education centers, Hospitals,Updated Event Name,Mapped Event Categories
6949,2007/05,EXPLOSION,3,2,1,0,0,0,0,0,0,0,0,20000000,0,1,0,0,0,0,0,0,1,0,Mexico,0,0,EXPLOSION,EXPLOSION
6950,2007/05,FIRE,5,13,0,0,0,3,0,0,0,100,0,20000000,0,2,0,0,0,0,0,0,0,0,Mexico,0,0,FIRE,EXPLOSION
6951,2007/05,FLOOD,13,0,1,0,0,500,0,0,0,30,0,20000000,0,6,0,0,0,0,0,9,5,0,Mexico,0,0,FLOOD,HYDROLOGICAL
6952,2007/05,FORESTFIRE,1,0,0,0,0,0,0,0,0,30,0,20000000,300,9,0,1,0,0,0,0,0,0,Mexico,0,0,FOREST FIRE,EXPLOSION
6953,2007/05,HAILSTORM,8,1,4,0,0,40,0,0,0,0,0,1000000,25100,3,0,6,0,0,0,1,0,0,Mexico,0,0,HAILSTORM,HYDROLOGICAL
6954,2007/05,INTOXICACIÓN,7,78,150,0,0,0,0,0,0,0,0,20000000,0,1,0,0,0,0,0,0,0,0,Mexico,0,0,OTHER,TECHNICAL
6955,2007/05,LANDSLIDE,4,1,2,0,0,0,0,0,0,0,0,20000000,0,3,0,0,0,0,0,2,0,0,Mexico,0,0,LANDSLIDE,NATURAL DISASTERS
6956,2007/05,LEAK,2,0,0,0,0,0,0,0,0,720,0,20000000,0,2,0,0,0,0,0,1,0,0,Mexico,0,0,LEAK,TECHNICAL
6957,2007/05,POLLUTION,1,0,0,0,0,0,0,2000,0,0,0,20000000,0,4,0,0,0,0,0,0,0,0,Mexico,0,0,POLLUTION,TECHNICAL
6959,2007/05,SPATE,2,0,0,3,0,500,0,2000,0,0,0,20000000,0,6,0,0,0,0,0,1,0,0,Mexico,0,0,FLOOD,HYDROLOGICAL
6960,2007/05,STORM,6,1,1,0,1,100,0,0,0,0,0,20000000,0,2,1,1,0,0,0,5,4,0,Mexico,0,0,STORM,HYDROLOGICAL
6961,2007/06,ACCIDENT,3,8,0,0,0,0,0,0,0,0,0,20000000,0,2,0,0,0,0,0,0,0,0,Mexico,0,0,ACCIDENT,TECHNICAL
6962,2007/06,BIOLOGICAL,2,0,0,0,0,0,0,0,0,0,0,10800000,2,1,0,1,0,0,0,0,0,0,Mexico,0,0,BIOLOGICAL,BIOLOGICAL
6963,2007/06,EARTHQUAKE,3,0,4,0,0,0,0,0,0,0,0,20000000,0,1,0,0,0,0,0,1,2,0,Mexico,0,0,EARTHQUAKE,NATURAL DISASTERS
6964,2007/06,ELECTRICSTORM,3,3,0,0,0,40,0,0,0,190,0,20000000,0,2,0,0,0,1,0,0,0,0,Mexico,0,0,STORM,HYDROLOGICAL
6965,2007/06,EPIDEMIC,3,8,126,0,0,0,0,0,0,0,0,20000000,0,255.5,0,0,0,0,0,0,0,0,Mexico,0,0,EPIDEMIC,HEALTH
6967,2007/06,FIRE,3,14,18,0,0,0,0,0,0,0,0,20000000,0,2,0,0,0,0,0,1,0,0,Mexico,0,0,FIRE,EXPLOSION
6968,2007/06,FLOOD,33,3,3,0,4,1598,1600,2500,0,300,0,70000000,0,6,1,5,3,0,0,22,2,0,Mexico,0,3,FLOOD,HYDROLOGICAL
6970,2007/06,HAILSTORM,2,0,0,0,0,50,0,0,0,0,0,20000000,200,3,0,1,0,0,0,1,1,0,Mexico,0,0,HAILSTORM,HYDROLOGICAL
6971,2007/06,HEATWAVE,13,5,11649,0,0,0,0,0,0,0,0,20000000,0,5,0,2,1,0,0,0,3,0,Mexico,0,0,HEAT WAVE,NATURAL DISASTERS
6972,2007/06,HUNDIMIENTO,2,0,0,0,0,240,0,0,0,0,0,20000000,0,3,1,0,0,0,0,0,0,0,Mexico,1,0,LANDSLIDE,NATURAL DISASTERS
6973,2007/06,INTOXICACIÓN,2,1,12,0,0,0,0,0,0,0,0,20000000,0,1,0,0,0,0,0,0,0,0,Mexico,0,0,OTHER,TECHNICAL
6974,2007/06,LANDSLIDE,8,0,2,0,0,40,0,0,0,0,0,20000000,0,3,0,0,0,0,0,3,0,0,Mexico,0,0,LANDSLIDE,NATURAL DISASTERS
6975,2007/06,LEAK,2,0,2,0,0,0,0,0,0,3500,0,20000000,0,2,1,0,0,0,0,0,0,0,Mexico,0,0,LEAK,TECHNICAL
6976,2007/06,POLLUTION,7,2,452,0,0,0,0,0,0,0,0,20000000,0,4,0,1,1,0,0,0,0,0,Mexico,0,0,POLLUTION,TECHNICAL
6977,2007/06,SPATE,3,8,0,2,0,0,0,0,0,0,0,20000000,0,6,0,0,0,0,0,0,0,0,Mexico,0,0,FLOOD,HYDROLOGICAL
6978,2007/06,STORM,31,3,1,0,3,970,1500,0,0,500,0,20000000,8515,2,0,16,0,0,8,20,14,0,Mexico,0,0,STORM,HYDROLOGICAL
6979,2007/06,STRONGWIND,3,0,0,0,0,1320,233,0,0,50,0,20000000,400,2,1,1,0,0,0,1,3,0,Mexico,1,0,STORM,HYDROLOGICAL
6981,2007/07,ACCIDENT,9,12,15,0,0,0,0,0,0,0,0,20000000,0,2,0,0,0,0,0,2,0,1,Mexico,0,0,ACCIDENT,TECHNICAL
6982,2007/07,ELECTRICSTORM,6,9,14,0,0,0,0,4,0,0,0,20000000,0,2,0,0,0,0,0,0,0,0,Mexico,0,0,STORM,HYDROLOGICAL
6983,2007/07,EPIDEMIC,4,0,1612,0,0,11,0,0,0,70,0,20000000,0,255.5,0,0,3,0,0,0,0,0,Mexico,0,0,EPIDEMIC,HEALTH
6984,2007/07,EXPLOSION,6,0,20,0,0,61,0,0,0,0,0,20000000,0,1,1,0,0,0,0,0,1,0,Mexico,1,0,EXPLOSION,EXPLOSION
6985,2007/07,FIRE,4,0,0,0,0,0,0,0,0,5000,0,20000000,0,2,0,0,0,0,0,0,0,0,Mexico,0,0,FIRE,EXPLOSION
6986,2007/07,FLOOD,79,14,3,1,626,5381,4550,14174,0,1610,0,20000000,5600,5,3,35,1,1,4,40,11,0,Mexico,2,0,FLOOD,HYDROLOGICAL
6988,2007/07,HAILSTORM,3,0,0,0,0,350,0,0,0,0,0,20000000,0,3,0,1,0,0,0,1,1,0,Mexico,0,0,HAILSTORM,HYDROLOGICAL
6989,2007/07,HEATWAVE,2,3,0,0,0,0,0,0,0,0,0,20000000,0,5,0,0,0,0,0,0,0,0,Mexico,0,0,HEAT WAVE,NATURAL DISASTERS
6990,2007/07,HUNDIMIENTO,8,1,0,0,4,45,0,0,0,250,0,20000000,0,3,0,0,0,0,0,6,0,0,Mexico,0,0,LANDSLIDE,NATURAL DISASTERS
6991,2007/07,INTOXICACIÓN,1,23,77,0,0,0,0,0,0,0,0,20000000,0,1,0,0,0,0,0,0,0,0,Mexico,0,0,OTHER,TECHNICAL
6992,2007/07,LANDSLIDE,20,66,12,0,1,9,0,6800,0,320,0,20000000,0,3,0,0,0,0,0,16,0,0,Mexico,0,0,LANDSLIDE,NATURAL DISASTERS
6993,2007/07,LEAK,2,0,25,0,0,5,0,0,0,800,0,20000000,0,2,0,0,0,0,0,0,0,0,Mexico,0,0,LEAK,TECHNICAL
6996,2007/07,RAIN,4,0,0,0,0,300,0,0,0,0,0,20000000,0,2,0,1,0,0,0,1,2,0,Mexico,0,0,RAIN,HYDROLOGICAL
6997,2007/07,SPATE,9,9,7,4,0,0,0,0,0,0,0,20000000,0,6,0,0,0,0,0,0,0,0,Mexico,0,0,FLOOD,HYDROLOGICAL
6998,2007/07,STORM,25,3,12,0,1,1179,12,2000,0,0,0,20000000,0,2,0,9,1,0,11,21,18,0,Mexico,0,0,STORM,HYDROLOGICAL
6999,2007/07,STRUCTURE,2,2,2,0,43,25,0,0,0,100,0,20000000,0,1,0,0,0,0,0,0,0,0,Mexico,0,0,STRUCTURE,TECHNICAL
7000,2007/08,ACCIDENT,6,11,52,0,0,0,0,0,0,0,0,20000000,0,2,0,0,0,0,0,1,0,0,Mexico,0,0,ACCIDENT,TECHNICAL
7003,2007/08,ELECTRICSTORM,7,10,7,0,0,0,0,0,0,0,0,20000000,0,2,0,0,0,0,0,0,1,0,Mexico,0,0,STORM,HYDROLOGICAL
7004,2007/08,EPIDEMIC,4,0,143,0,0,0,0,250,0,0,0,20000000,0,255.5,0,0,0,0,0,0,0,0,Mexico,0,0,EPIDEMIC,HEALTH
7005,2007/08,EXPLOSION,5,6,9,0,2,0,0,0,0,0,0,20000000,0,1,0,0,0,0,0,0,0,0,Mexico,0,0,EXPLOSION,EXPLOSION
7006,2007/08,FIRE,2,1,5,0,0,0,0,0,0,300,0,20000000,0,2,0,0,0,0,0,1,0,0,Mexico,0,0,FIRE,EXPLOSION
7007,2007/08,FLOOD,105,7,0,1,305,4763,51095,3250,0,2984,0,600000,321432,1,20,49,14,13,15,60,21,1,Mexico,8,2,FLOOD,HYDROLOGICAL
7008,2007/08,HUNDIMIENTO,1,0,0,0,0,50,0,0,0,0,0,20000000,0,3,0,0,0,0,0,0,0,0,Mexico,0,0,LANDSLIDE,NATURAL DISASTERS
7009,2007/08,INTOXICACIÓN,1,0,88,0,0,0,0,0,0,0,0,20000000,0,1,0,0,0,0,0,0,0,0,Mexico,0,0,OTHER,TECHNICAL
7010,2007/08,LANDSLIDE,41,13,7,0,11,499,250,38800,0,129,0,20000000,0,3,1,2,0,0,0,34,1,0,Mexico,0,0,LANDSLIDE,NATURAL DISASTERS
7011,2007/08,LEAK,4,0,0,0,0,0,0,0,0,2000,0,20000000,0,2,0,0,0,0,0,2,0,0,Mexico,0,0,LEAK,TECHNICAL
7012,2007/08,OTHER,1,0,0,0,0,180,0,0,0,0,0,20000000,0,1,0,0,0,0,0,0,0,0,Mexico,0,0,OTHER,TECHNICAL
7014,2007/08,POLLUTION,5,0,0,0,0,500,0,0,0,0,0,20000000,0,4,0,1,0,0,0,0,0,0,Mexico,0,0,POLLUTION,TECHNICAL
7015,2007/08,RAIN,90,15,0,0,26381,28806,53500,495000,0,1084234,0,1000000000,477500,2,62,70,39,58,57,68,60,1,Mexico,77,1,RAIN,HYDROLOGICAL
7016,2007/08,SPATE,6,18,0,2,0,0,0,0,0,0,0,20000000,0,6,0,0,0,0,0,0,0,0,Mexico,0,0,FLOOD,HYDROLOGICAL
7017,2007/08,STORM,11,0,1,1,0,15,0,100,0,0,0,20000000,0,2,0,0,0,0,1,10,10,0,Mexico,0,0,STORM,HYDROLOGICAL
7018,2007/08,STRONGWIND,3,0,3,0,0,54,10,0,0,0,0,20000000,0,2,0,1,0,0,0,0,1,0,Mexico,0,0,STORM,HYDROLOGICAL
7019,2007/08,STRUCTURE,5,4,0,0,2,0,0,0,0,0,0,20000000,0,1,0,0,0,0,0,2,0,0,Mexico,0,0,STRUCTURE,TECHNICAL
7020,2007/08,TORNADO,4,0,0,0,0,0,0,0,0,50,0,20000000,0,4,0,0,0,0,0,0,4,0,Mexico,0,0,GALE/TORNADO,HYDROLOGICAL
7021,2007/09,ACCIDENT,6,38,63,0,0,1,0,0,0,0,0,20000000,0,2,0,0,0,0,0,0,0,0,Mexico,0,0,ACCIDENT,TECHNICAL
7023,2007/09,EPIDEMIC,11,1,299,0,0,0,0,0,0,0,0,20000000,0,255.5,0,0,0,0,0,0,0,0,Mexico,0,0,EPIDEMIC,HEALTH
7024,2007/09,EXPLOSION,4,28,275,0,12,59,0,0,0,300,0,7000000,0,1,1,0,0,0,0,1,1,0,Mexico,1,0,EXPLOSION,EXPLOSION
7025,2007/09,FIRE,7,1,3,0,30,0,0,0,0,2500,0,20000000,0,2,0,0,0,0,0,0,0,0,Mexico,0,0,FIRE,EXPLOSION
7026,2007/09,FLOOD,117,8,2,4,1005,36327,52863,93230,100,47125,0,2000000000,72940,6,45,74,0,2,4,66,31,0,Mexico,277,0,FLOOD,HYDROLOGICAL
7027,2007/09,INTOXICACIÓN,2,8,6,0,0,0,0,0,0,0,0,20000000,0,1,0,0,0,0,0,0,0,0,Mexico,0,0,OTHER,TECHNICAL
7028,2007/09,LANDSLIDE,46,22,70,1,166,77,1147,51150,0,870,0,20000000,0,3,0,0,0,0,0,33,0,0,Mexico,0,0,LANDSLIDE,NATURAL DISASTERS
7029,2007/09,LEAK,1,0,0,0,0,0,0,7,0,0,0,20000000,0,2,0,0,0,0,0,0,0,0,Mexico,0,0,LEAK,TECHNICAL
7030,2007/09,RAIN,53,22,11,4,171,7139,73600,109000,0,106503,0,64000000,107470,2,17,36,3,8,13,38,17,0,Mexico,200,0,RAIN,HYDROLOGICAL
7031,2007/09,SPATE,15,18,10,3,0,0,0,0,0,0,0,20000000,0,6,0,0,0,0,0,0,0,0,Mexico,0,0,FLOOD,HYDROLOGICAL
7032,2007/09,STORM,6,4,1,0,0,1845,650,0,0,0,0,20000000,0,2,2,1,0,0,0,4,3,0,Mexico,47,0,STORM,HYDROLOGICAL
7033,2007/09,STRUCTURE,6,2,0,0,0,0,0,10000,0,0,0,20000000,0,1,0,0,0,0,0,4,0,0,Mexico,0,0,STRUCTURE,TECHNICAL
7035,2007/09,TORNADO,2,0,0,0,12,0,0,0,0,0,0,20000000,0,4,0,0,0,0,2,0,2,0,Mexico,0,0,GALE/TORNADO,HYDROLOGICAL
7036,2007/10,ACCIDENT,8,47,31,19,0,0,0,0,0,81,0,20000000,0,2,0,0,0,0,0,0,0,0,Mexico,0,0,ACCIDENT,TECHNICAL
7038,2007/10,ELECTRICSTORM,1,1,0,0,0,0,0,0,0,0,0,20000000,0,2,0,0,0,0,0,0,0,0,Mexico,0,0,STORM,HYDROLOGICAL
7039,2007/10,EPIDEMIC,6,4,679,0,0,0,0,0,0,0,0,20000000,0,255.5,0,0,0,0,0,0,0,0,Mexico,0,0,EPIDEMIC,HEALTH
7040,2007/10,EXPLOSION,3,1,3,0,3,8,0,0,0,0,0,20000000,0,1,0,0,0,0,0,0,0,0,Mexico,0,0,EXPLOSION,EXPLOSION
7041,2007/10,FIRE,2,4,0,2,1,0,0,173,0,0,0,20000000,0,2,0,0,0,0,0,0,0,0,Mexico,0,0,FIRE,EXPLOSION
7042,2007/10,FLOOD,87,2,2,8,12476,124365,175046,1445741,0,863980,3100000000,3.18E+11,1084598,6,23,59,9,24,8,69,26,0,Mexico,3873,37,FLOOD,HYDROLOGICAL
7043,2007/10,FORESTFIRE,11,6,18,0,9,0,0,0,0,300,0,20000000,3000,9,1,2,0,0,0,2,0,0,Mexico,0,0,FOREST FIRE,EXPLOSION
7044,2007/10,FROST,27,0,0,0,0,0,0,2200,0,0,0,20000000,2704,5.5,0,26,0,0,0,0,0,0,Mexico,0,0,FROST,NATURAL DISASTERS
7045,2007/10,HUNDIMIENTO,3,0,0,0,22,100,0,0,50,262,0,20000000,0,3,0,0,0,0,0,2,0,0,Mexico,0,0,LANDSLIDE,NATURAL DISASTERS
7046,2007/10,INTOXICACIÓN,11,0,104,0,0,0,0,0,0,0,0,20000000,0,1,0,0,0,0,0,0,0,0,Mexico,0,0,OTHER,TECHNICAL
7047,2007/10,LANDSLIDE,46,1,0,0,50,121,0,2700,0,0,0,20000000,1,3,0,1,1,2,0,42,1,0,Mexico,0,1,LANDSLIDE,NATURAL DISASTERS
7048,2007/10,LEAK,6,0,0,0,0,0,0,0,0,448,0,20000000,0,2,1,0,0,0,0,2,0,0,Mexico,0,0,LEAK,TECHNICAL
7049,2007/10,ONDA FRÍA,9,3,0,0,0,0,0,507,0,0,0,20000000,0,20,0,0,1,0,0,0,0,0,Mexico,0,0,COLD WAVE,NATURAL DISASTERS
7050,2007/10,POLLUTION,15,0,0,0,0,0,0,12000,0,0,0,20000000,0,4,2,9,9,8,0,0,0,0,Mexico,0,0,POLLUTION,TECHNICAL
7051,2007/10,RAIN,28,0,0,0,0,0,0,19700,0,0,0,20000000,0,2,0,27,0,0,0,12,0,0,Mexico,0,0,RAIN,HYDROLOGICAL
7052,2007/10,SNOWSTORM,2,1,0,0,0,0,0,0,0,0,0,20000000,0,3.5,0,1,0,0,0,0,0,0,Mexico,0,0,SNOWFALL,HYDROLOGICAL
7053,2007/10,SPATE,5,4,0,0,0,12,0,0,0,0,0,20000000,0,6,0,0,0,0,0,2,0,0,Mexico,0,0,FLOOD,HYDROLOGICAL
7054,2007/10,STORM,4,0,0,1,0,1006,0,202000,0,0,0,20000000,0,2,0,0,0,0,1,2,3,0,Mexico,0,0,STORM,HYDROLOGICAL
7055,2007/10,STRONGWIND,64,3,5,0,0,5628,112,46000,0,0,0,20000000,0,2,30,15,0,0,3,49,8,0,Mexico,0,0,STORM,HYDROLOGICAL
7058,2007/11,ACCIDENT,3,9,41,0,0,0,0,0,0,0,0,20000000,0,2,0,0,0,0,0,1,0,0,Mexico,0,0,ACCIDENT,TECHNICAL
7060,2007/11,DROUGHT,1,0,0,0,0,0,0,1000,0,0,0,20000000,0,497.5,0,1,0,0,0,0,0,0,Mexico,0,0,DROUGHT,NATURAL DISASTERS
7062,2007/11,EPIDEMIC,13,0,21522,0,0,0,0,0,0,0,0,20000000,0,255.5,1,0,0,0,0,0,0,0,Mexico,0,0,EPIDEMIC,HEALTH
7063,2007/11,EXPLOSION,1,0,0,0,0,1,0,0,0,0,0,20000000,0,1,0,0,0,0,0,0,0,0,Mexico,0,0,EXPLOSION,EXPLOSION
7064,2007/11,FIRE,4,1,0,0,0,0,0,0,0,40,0,20000000,0,2,0,0,1,0,0,0,0,0,Mexico,0,0,FIRE,EXPLOSION
7065,2007/11,FLOOD,44,0,0,0,0,6002,535,14000,0,1902,0,20000000,1000,6,2,34,2,2,0,34,3,0,Mexico,0,0,FLOOD,HYDROLOGICAL
7068,2007/11,FROST,30,0,0,0,0,0,0,25,0,80,0,20000000,320,5.5,0,30,0,0,0,0,0,0,Mexico,0,0,FROST,NATURAL DISASTERS
7069,2007/11,HAILSTORM,14,0,0,0,0,348,60,1850,0,60,0,20000000,970,3,0,10,0,1,0,4,0,0,Mexico,0,0,HAILSTORM,HYDROLOGICAL
7070,2007/11,HUNDIMIENTO,11,0,0,0,3,1160,0,0,0,300,0,20000000,0,3,6,4,0,0,0,7,0,0,Mexico,2,0,LANDSLIDE,NATURAL DISASTERS
7071,2007/11,INTOXICACIÓN,2,2,25,0,0,0,0,0,0,0,0,20000000,0,1,0,0,0,0,0,0,0,0,Mexico,0,0,OTHER,TECHNICAL
7072,2007/11,LANDSLIDE,15,19,12,7,84,100,382,0,3000,930,0,20000000,0,3,1,1,0,1,0,11,1,0,Mexico,1,0,LANDSLIDE,NATURAL DISASTERS
7074,2007/11,ONDA FRÍA,15,4,0,0,0,0,150,0,0,0,0,20000000,83000,20,2,9,5,0,0,0,0,0,Mexico,0,0,COLD WAVE,NATURAL DISASTERS
7075,2007/11,POLLUTION,2,0,0,0,0,0,0,10000,0,0,0,20000000,0,4,0,1,0,0,0,0,0,0,Mexico,0,0,POLLUTION,TECHNICAL
7076,2007/11,RAIN,4,0,0,0,0,0,0,1500,0,1300,0,20000000,0,2,0,0,0,0,0,2,0,0,Mexico,0,0,RAIN,HYDROLOGICAL
7077,2007/11,SNOWSTORM,21,1,3,0,0,0,0,0,0,0,0,20000000,0,3.5,0,2,0,0,0,17,0,0,Mexico,0,0,SNOWFALL,HYDROLOGICAL
7078,2007/11,SPATE,5,4,0,5,0,0,0,0,0,0,0,20000000,0,6,0,0,0,0,0,0,0,0,Mexico,0,0,FLOOD,HYDROLOGICAL
7079,2007/11,STRONGWIND,3,0,13,0,0,0,0,0,0,0,0,20000000,0,2,0,0,0,0,0,2,0,0,Mexico,0,0,STORM,HYDROLOGICAL
7080,2007/11,STRUCTURE,1,0,1,0,0,0,0,0,0,0,0,20000000,0,1,0,0,0,0,0,1,0,0,Mexico,0,0,STRUCTURE,TECHNICAL
7082,2007/12,EPIDEMIC,9,122,1032,0,0,0,0,0,0,0,0,20000000,0,255.5,0,0,0,0,0,0,0,0,Mexico,0,0,EPIDEMIC,HEALTH
7084,2007/12,EXPLOSION,15,7,22,0,2,2,0,0,0,100,0,20000000,0,1,1,0,0,0,0,4,8,0,Mexico,0,0,EXPLOSION,EXPLOSION
7085,2007/12,FIRE,6,5,14,0,0,5,0,0,0,650,0,20000000,0,2,0,0,0,0,0,0,0,0,Mexico,0,0,FIRE,EXPLOSION
7086,2007/12,FLOOD,7,0,0,0,0,100,0,0,0,18500,0,20000000,0,6,2,2,0,0,2,2,2,0,Mexico,0,0,FLOOD,HYDROLOGICAL
7087,2007/12,FROST,18,1,0,0,0,0,0,0,0,0,0,20000000,0,5.5,0,17,0,0,0,0,0,0,Mexico,0,0,FROST,NATURAL DISASTERS
7088,2007/12,HUNDIMIENTO,3,0,0,0,1,50,0,0,0,0,0,20000000,0,3,0,0,0,0,0,1,0,0,Mexico,0,0,LANDSLIDE,NATURAL DISASTERS
7089,2007/12,INTOXICACIÓN,2,0,176,0,0,0,0,0,0,400,0,20000000,0,1,0,0,0,0,0,0,0,0,Mexico,0,0,OTHER,TECHNICAL
7090,2007/12,LANDSLIDE,4,2,0,0,5,0,25,0,0,1200,0,20000000,0,3,0,0,0,0,0,2,1,0,Mexico,0,0,LANDSLIDE,NATURAL DISASTERS
7092,2007/12,ONDA FRÍA,12,8,55,0,0,0,0,0,0,0,0,20000000,0,20,5,1,0,0,0,1,0,0,Mexico,0,0,COLD WAVE,NATURAL DISASTERS
7094,2007/12,POLLUTION,7,0,4000,0,0,0,0,0,0,0,0,20000000,0,4,0,0,0,0,0,0,0,0,Mexico,0,0,POLLUTION,TECHNICAL
7095,2007/12,SNOWSTORM,5,0,0,0,0,0,20000,0,0,0,0,20000000,0,3.5,0,0,5,0,0,0,0,0,Mexico,0,0,SNOWFALL,HYDROLOGICAL
7096,2007/12,SPATE,1,1,2,0,0,0,0,0,0,0,0,20000000,0,6,0,0,0,0,0,0,0,0,Mexico,0,0,FLOOD,HYDROLOGICAL
7099,2008/01,ACCIDENT,4,1,8,0,0,0,0,0,0,0,0,20000000,0,2,0,0,0,0,0,2,0,0,Mexico,0,0,ACCIDENT,TECHNICAL
7101,2008/01,EXPLOSION,5,12,4,0,0,0,0,0,0,0,0,20000000,0,1,1,0,0,0,0,0,0,0,Mexico,1,0,EXPLOSION,EXPLOSION
7102,2008/01,FIRE,6,3,4,0,9,0,0,40,0,3000,0,20000000,0,2,0,0,0,0,0,0,0,0,Mexico,0,0,FIRE,EXPLOSION
7103,2008/01,FLOOD,26,0,1,0,1,1276,0,14000,0,70,0,20000000,46,6,8,19,0,1,0,17,0,0,Mexico,0,0,FLOOD,HYDROLOGICAL
7105,2008/01,FORESTFIRE,7,0,0,0,0,0,0,0,0,400,0,20000000,701,9,0,7,0,0,0,0,0,0,Mexico,0,0,FOREST FIRE,EXPLOSION
7106,2008/01,FROST,26,12,0,0,0,0,0,3000000,0,170,0,20000000,5200,5.5,1,11,0,0,0,0,0,0,Mexico,0,0,FROST,NATURAL DISASTERS
7107,2008/01,HUNDIMIENTO,1,0,0,0,0,6,0,22,0,0,0,20000000,0,3,0,0,0,1,0,1,0,0,Mexico,0,0,LANDSLIDE,NATURAL DISASTERS
7108,2008/01,INTOXICACIÓN,1,3,0,0,0,0,0,0,0,0,0,20000000,0,1,0,0,0,0,0,0,0,0,Mexico,0,0,OTHER,TECHNICAL
7109,2008/01,LANDSLIDE,1,0,0,0,3,0,18,0,0,0,0,20000000,0,3,0,0,0,0,0,0,0,0,Mexico,0,0,LANDSLIDE,NATURAL DISASTERS
7110,2008/01,LEAK,2,0,1,0,0,0,0,0,0,1500,0,20000000,1,2,0,1,0,0,0,0,0,0,Mexico,0,0,LEAK,TECHNICAL
7111,2008/01,ONDA FRÍA,36,97,0,0,0,0,80,148000,0,0,0,20000000,0,20,1,0,2,0,0,2,0,0,Mexico,0,0,COLD WAVE,NATURAL DISASTERS
7112,2008/01,POLLUTION,6,0,0,0,0,0,0,25000,0,0,0,20000000,0,4,1,1,2,0,0,0,0,0,Mexico,0,0,POLLUTION,TECHNICAL
7114,2008/01,RAIN,3,1,0,0,11,0,10,50,0,0,0,20000000,0,2,2,0,0,0,0,0,0,0,Mexico,0,0,RAIN,HYDROLOGICAL
7115,2008/01,SNOWSTORM,21,2,94,0,0,0,0,0,0,0,0,20000000,0,3.5,0,6,6,0,0,14,0,0,Mexico,0,0,SNOWFALL,HYDROLOGICAL
7116,2008/01,SPATE,1,0,3,0,0,0,0,0,0,0,0,20000000,0,6,0,0,0,0,0,0,0,0,Mexico,0,0,FLOOD,HYDROLOGICAL
7117,2008/01,STRONGWIND,60,4,10,0,0,7652,0,0,0,470,0,1540000000,0,2,0,3,0,0,0,35,29,0,Mexico,0,0,STORM,HYDROLOGICAL
7118,2008/01,STRUCTURE,2,0,28,0,290,0,0,0,0,1500,0,20000000,0,1,1,0,0,0,0,0,0,0,Mexico,0,0,STRUCTURE,TECHNICAL
7119,2008/02,ACCIDENT,1,4,2,0,0,0,0,0,0,0,0,20000000,0,2,0,0,0,0,0,0,0,0,Mexico,0,0,ACCIDENT,TECHNICAL
7121,2008/02,DROUGHT,1,0,0,0,0,0,0,140,0,0,0,20000000,0,497.5,0,1,0,0,0,0,0,0,Mexico,0,0,DROUGHT,NATURAL DISASTERS
7122,2008/02,EARTHQUAKE,14,0,0,0,1,103,0,0,0,80,0,20000000,0,1,5,0,2,0,10,3,10,0,Mexico,47,2,EARTHQUAKE,NATURAL DISASTERS
7123,2008/02,EPIDEMIC,3,12,6,0,0,0,0,0,0,0,0,20000000,0,255.5,0,0,0,0,0,0,0,0,Mexico,0,0,EPIDEMIC,HEALTH
7124,2008/02,EXPLOSION,4,4,6,0,0,0,0,0,0,0,0,20000000,0,1,0,0,0,0,0,0,0,0,Mexico,0,0,EXPLOSION,EXPLOSION
7125,2008/02,FIRE,7,2,5,2,0,0,0,25000,0,950,0,20000000,0,2,0,0,0,0,0,2,1,0,Mexico,0,0,FIRE,EXPLOSION
7128,2008/02,HUNDIMIENTO,1,0,0,0,0,1,0,0,0,0,0,20000000,0,3,1,0,0,1,0,0,0,0,Mexico,4,0,LANDSLIDE,NATURAL DISASTERS
7129,2008/02,INTOXICACIÓN,2,2,0,0,0,0,0,0,0,0,0,20000000,0,1,0,0,0,0,0,0,0,0,Mexico,0,0,OTHER,TECHNICAL
7130,2008/02,LANDSLIDE,1,0,0,0,140,0,0,0,0,0,0,20000000,0,3,0,0,0,0,0,0,0,0,Mexico,0,0,LANDSLIDE,NATURAL DISASTERS
7132,2008/02,ONDA FRÍA,1,1,0,0,0,0,0,0,0,0,0,20000000,0,20,0,0,0,0,0,0,0,0,Mexico,0,0,COLD WAVE,NATURAL DISASTERS
7133,2008/02,OTHER,1,2,60,0,0,0,0,0,0,0,0,20000000,0,1,0,0,0,0,0,0,0,0,Mexico,0,0,OTHER,TECHNICAL
7134,2008/02,PLAGUE,2,0,0,0,0,0,0,600,0,0,0,20000000,0,3,0,1,1,0,0,0,0,0,Mexico,0,0,PLAGUE,HEALTH
7135,2008/02,POLLUTION,3,0,15,0,0,0,0,4000,0,0,0,20000000,0,4,0,1,1,0,0,0,0,0,Mexico,0,0,POLLUTION,TECHNICAL
7136,2008/02,RACIONAMIENTO,2,0,0,0,0,0,0,410000,0,0,0,20000000,0,1,0,1,0,0,0,0,0,0,Mexico,0,0,OTHER,TECHNICAL
7138,2008/02,STRONGWIND,24,0,1,0,0,0,0,0,0,0,0,20000000,0,2,0,5,0,0,1,18,5,0,Mexico,0,0,STORM,HYDROLOGICAL
7139,2008/03,ACCIDENT,1,1,3,0,0,0,0,0,0,0,0,20000000,0,2,0,0,1,0,1,1,1,0,Mexico,0,3,ACCIDENT,TECHNICAL
